SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Instructional Coordinators and Supervisors to the Staff,662.31,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Kindergarten Teachers,9602.44,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrative Support Staff,15296.18,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Administrators,2246.95,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Librarians/media specialists,1987.67,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Library/Media Support Staff,869.66,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Missing,,Category Set A,Not reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Paraprofessionals/Instructional Aides,33038.03,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Pre-kindergarten Teachers,2856.07,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,School Administrative Support Staff,16436.66,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,School administrators,8841.93,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,School Counselors,628.77,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Secondary School Counselors,3307.60,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Secondary Teachers,67848.54,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Student Support Services Staff,11843.01,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Ungraded Teachers,42190.05,Category Set A,Reported
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Guidance Counselors,5824.05,Derived - Major Staffing Category,Derived
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,LEA Staff,18205.44,Derived - Major Staffing Category,Derived
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Other Staff,68145.62,Derived - Major Staffing Category,Derived
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,School Staff,73016.96,Derived - Major Staffing Category,Derived
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,Teachers,186339.1,Derived - Major Staffing Category,Derived
2016-2017,12,FLORIDA,FL,FLORIDA DEPARTMENT OF EDUCATION,01,No Category Codes,351531.2,Education Unit Total,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,All Other Support Staff,48906.70,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Elementary School Counselors,1563.60,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Elementary Teachers,43511.10,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Instructional Coordinators and Supervisors to the Staff,3701.20,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Kindergarten Teachers,6485.30,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,LEA Administrative Support Staff,2643.60,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,LEA Administrators,2532.60,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Librarians/media specialists,2088.50,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Library/Media Support Staff,1109.90,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Paraprofessionals/Instructional Aides,24942.90,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Pre-kindergarten Teachers,2921.40,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,School Administrative Support Staff,9144.00,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,School administrators,6436.30,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Secondary School Counselors,2220.70,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Secondary Teachers,44720.80,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Student Support Services Staff,8470.00,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Ungraded Teachers,17123.90,Category Set A,Reported
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Guidance Counselors,3784.30,Derived - Major Staffing Category,Derived
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,LEA Staff,8877.40,Derived - Major Staffing Category,Derived
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Other Staff,48906.70,Derived - Major Staffing Category,Derived
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,School Staff,52191.60,Derived - Major Staffing Category,Derived
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,Teachers,114762.5,Derived - Major Staffing Category,Derived
2016-2017,13,GEORGIA,GA,Georgia Department of Education,01,No Category Codes,228522.5,Education Unit Total,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,All Other Support Staff,2493.26,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Elementary School Counselors,257.55,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Elementary Teachers,5449.08,Category Set A,Imputation
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Instructional Coordinators and Supervisors to the Staff,609.75,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Kindergarten Teachers,665.67,Category Set A,Imputation
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,LEA Administrative Support Staff,691.60,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,LEA Administrators,301.00,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Librarians/media specialists,148.50,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Library/Media Support Staff,63.00,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Paraprofessionals/Instructional Aides,2556.21,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Pre-kindergarten Teachers,282.00,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,School Administrative Support Staff,930.60,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,School administrators,693.85,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Secondary School Counselors,376.65,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Secondary Teachers,5315.06,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Student Support Services Staff,1694.78,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Ungraded Teachers,69.85,Category Set A,Reported
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Guidance Counselors,634.20,Derived - Major Staffing Category,Derived
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,LEA Staff,1602.35,Derived - Major Staffing Category,Derived
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Other Staff,2493.26,Derived - Major Staffing Category,Derived
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,School Staff,6086.94,Derived - Major Staffing Category,Derived
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,Teachers,11781.66,Derived - Major Staffing Category,Derived
2016-2017,15,HAWAII,HI,Hawaii Department of Education,01,No Category Codes,22598.41,Education Unit Total,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,All Other Support Staff,4679.51,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Elementary School Counselors,208.88,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Elementary Teachers,6851.80,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,234.92,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Kindergarten Teachers,654.33,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,LEA Administrative Support Staff,641.35,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,LEA Administrators,133.23,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Librarians/media specialists,50.37,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Library/Media Support Staff,263.99,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Paraprofessionals/Instructional Aides,3131.01,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Pre-kindergarten Teachers,142.22,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,School Administrative Support Staff,938.79,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,School administrators,716.15,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,School Counselors,0.00,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Secondary School Counselors,343.65,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Secondary Teachers,8555.55,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Student Support Services Staff,533.24,Category Set A,Reported
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Guidance Counselors,552.53,Derived - Major Staffing Category,Derived
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,LEA Staff,1009.50,Derived - Major Staffing Category,Derived
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Other Staff,4679.51,Derived - Major Staffing Category,Derived
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,School Staff,5633.55,Derived - Major Staffing Category,Derived
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,Teachers,16203.90,Derived - Major Staffing Category,Derived
2016-2017,16,IDAHO,ID,Idaho State Department of Education,01,No Category Codes,28078.99,Education Unit Total,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,All Other Support Staff,30687.97,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Elementary School Counselors,1026.01,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Elementary Teachers,83280.94,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Instructional Coordinators and Supervisors to the Staff,1573.39,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Kindergarten Teachers,4521.86,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,LEA Administrative Support Staff,7129.41,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,LEA Administrators,3410.73,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Librarians/media specialists,1533.87,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Library/Media Support Staff,1337.79,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Missing,,Category Set A,Not reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Paraprofessionals/Instructional Aides,27787.28,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Pre-kindergarten Teachers,2321.83,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,School Administrative Support Staff,10217.18,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,School administrators,6850.63,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,School Counselors,0.00,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Secondary School Counselors,1928.94,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Secondary Teachers,38506.13,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Student Support Services Staff,37183.47,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Ungraded Teachers,262.67,Category Set A,Reported
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Guidance Counselors,2954.95,Derived - Major Staffing Category,Derived
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,LEA Staff,12113.53,Derived - Major Staffing Category,Derived
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Other Staff,30687.97,Derived - Major Staffing Category,Derived
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,School Staff,84910.22,Derived - Major Staffing Category,Derived
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,Teachers,128893.4,Derived - Major Staffing Category,Derived
2016-2017,17,ILLINOIS,IL,Illinois State Board of Education,01,No Category Codes,259560.1,Education Unit Total,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,All Other Support Staff,38732.56,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Elementary School Counselors,602.85,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Elementary Teachers,26845.72,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Instructional Coordinators and Supervisors to the Staff,4374.34,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Kindergarten Teachers,3986.74,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,LEA Administrative Support Staff,760.08,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,LEA Administrators,603.32,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Librarians/media specialists,688.37,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Library/Media Support Staff,1162.13,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Paraprofessionals/Instructional Aides,17271.53,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Pre-kindergarten Teachers,330.29,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,School Administrative Support Staff,6660.09,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,School administrators,3441.12,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Secondary School Counselors,1508.75,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Secondary Teachers,28998.88,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Student Support Services Staff,9030.54,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Guidance Counselors,2111.60,Derived - Major Staffing Category,Derived
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,LEA Staff,5737.74,Derived - Major Staffing Category,Derived
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Other Staff,38732.56,Derived - Major Staffing Category,Derived
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,School Staff,38253.78,Derived - Major Staffing Category,Derived
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,Teachers,60161.63,Derived - Major Staffing Category,Derived
2016-2017,18,INDIANA,IN,Indiana Department of Education,01,No Category Codes,144997.3,Education Unit Total,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,All Other Support Staff,10109.59,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Elementary School Counselors,802.98,Category Set A,Imputation
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Elementary Teachers,21053.34,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Instructional Coordinators and Supervisors to the Staff,823.06,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Kindergarten Teachers,2842.73,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,LEA Administrative Support Staff,1912.40,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,LEA Administrators,1767.11,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Librarians/media specialists,413.50,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Library/Media Support Staff,459.17,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Paraprofessionals/Instructional Aides,12500.72,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Pre-kindergarten Teachers,1309.25,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,School Administrative Support Staff,2258.55,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,School administrators,1721.92,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,School Counselors,0.00,Category Set A,Imputation
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Secondary School Counselors,436.29,Category Set A,Imputation
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Secondary Teachers,10602.72,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Student Support Services Staff,4481.27,Category Set A,Reported
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Guidance Counselors,1239.27,Derived - Major Staffing Category,Derived
2016-2017,19,IOWA,IA,Iowa Department of Education,01,LEA Staff,4502.57,Derived - Major Staffing Category,Derived
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Other Staff,10109.59,Derived - Major Staffing Category,Derived
2016-2017,19,IOWA,IA,Iowa Department of Education,01,School Staff,21835.13,Derived - Major Staffing Category,Derived
2016-2017,19,IOWA,IA,Iowa Department of Education,01,Teachers,35808.04,Derived - Major Staffing Category,Derived
2016-2017,19,IOWA,IA,Iowa Department of Education,01,No Category Codes,73494.60,Education Unit Total,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,All Other Support Staff,10468.40,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Elementary School Counselors,337.00,Category Set A,Imputation
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Elementary Teachers,10874.47,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,934.51,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Kindergarten Teachers,6691.49,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,LEA Administrative Support Staff,1359.80,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,LEA Administrators,443.11,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Librarians/media specialists,587.20,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Library/Media Support Staff,566.20,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Paraprofessionals/Instructional Aides,8949.80,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Pre-kindergarten Teachers,930.23,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,School Administrative Support Staff,2128.50,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,School administrators,1854.30,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,School Counselors,0.00,Category Set A,Imputation
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Secondary School Counselors,703.50,Category Set A,Imputation
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Secondary Teachers,17697.06,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Student Support Services Staff,4293.43,Category Set A,Reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Ungraded Teachers,,Category Set A,Not reported
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Guidance Counselors,1040.50,Derived - Major Staffing Category,Derived
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,LEA Staff,2737.42,Derived - Major Staffing Category,Derived
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Other Staff,10468.40,Derived - Major Staffing Category,Derived
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,School Staff,18379.43,Derived - Major Staffing Category,Derived
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,Teachers,36193.25,Derived - Major Staffing Category,Derived
2016-2017,20,KANSAS,KS,Kansas State Department of Education,01,No Category Codes,68846.50,Education Unit Total,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,All Other Support Staff,22953.60,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Elementary School Counselors,854.35,Category Set A,Imputation
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Elementary Teachers,21741.36,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Instructional Coordinators and Supervisors to the Staff,1592.97,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Kindergarten Teachers,2029.10,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,LEA Administrative Support Staff,2281.25,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,LEA Administrators,954.04,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Librarians/media specialists,1053.98,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Library/Media Support Staff,198.00,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Missing,,Category Set A,Not reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Paraprofessionals/Instructional Aides,12958.00,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Pre-kindergarten Teachers,1001.24,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,School Administrative Support Staff,5407.02,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,School administrators,3496.07,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,School Counselors,0.00,Category Set A,Imputation
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Secondary School Counselors,697.50,Category Set A,Imputation
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Secondary Teachers,10058.31,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Student Support Services Staff,3218.08,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Ungraded Teachers,7198.73,Category Set A,Reported
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Guidance Counselors,1551.85,Derived - Major Staffing Category,Derived
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,LEA Staff,4828.26,Derived - Major Staffing Category,Derived
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Other Staff,22953.60,Derived - Major Staffing Category,Derived
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,School Staff,26331.15,Derived - Major Staffing Category,Derived
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,Teachers,42028.74,Derived - Major Staffing Category,Derived
2016-2017,21,KENTUCKY,KY,Kentucky Depatment of Education,01,No Category Codes,97693.60,Education Unit Total,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,All Other Support Staff,17748.46,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Elementary School Counselors,1241.99,Category Set A,Imputation
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Elementary Teachers,28356.14,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Instructional Coordinators and Supervisors to the Staff,1338.84,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Kindergarten Teachers,2769.44,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,LEA Administrative Support Staff,472.40,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,LEA Administrators,101.06,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Librarians/media specialists,1226.76,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Library/Media Support Staff,201.77,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Missing,,Category Set A,Not reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Paraprofessionals/Instructional Aides,13577.02,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Pre-kindergarten Teachers,1680.40,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,School Administrative Support Staff,4243.95,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,School administrators,3785.50,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,School Counselors,0.00,Category Set A,Imputation
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Secondary School Counselors,579.54,Category Set A,Imputation
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Secondary Teachers,15602.14,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Student Support Services Staff,4226.93,Category Set A,Reported
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Guidance Counselors,1821.53,Derived - Major Staffing Category,Derived
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,LEA Staff,1912.30,Derived - Major Staffing Category,Derived
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,Other Staff,17748.46,Derived - Major Staffing Category,Derived
2016-2017,22,LOUISIANA,LA,Louisiana Department of Education,01,School Staff,27261.93,Derived - Major Staffing Category,Derived
